NAME                       VERSION           TYPE     
acl-libs                   2.3.2-r1          apk       
alpine-baselayout          3.6.8-r1          apk       
alpine-baselayout-data     3.6.8-r1          apk       
alpine-keys                2.5-r0            apk       
alpine-release             3.21.3-r0         apk       
alsa-lib                   1.2.12-r0         apk       
anyio                      4.9.0             python    
aom-libs                   3.11.0-r0         apk       
apk-tools                  2.14.6-r3         apk       
audioread                  3.0.1             python    
bash                       5.2.37-r0         apk       
beautifulsoup4             4.13.4            python    
beetcamp                   0.21.0            python    
beets                      2.2.0             python    
beets-extrafiles           0.0.7             python    
blinker                    1.9.0             python    
brotli-libs                1.1.0-r2          apk       
busybox                    1.37.0-r12        apk       
busybox-binsh              1.37.0-r12        apk       
c-ares                     1.34.5-r0         apk       
ca-certificates            20241121-r1       apk       
ca-certificates-bundle     20241121-r1       apk       
cairo                      1.18.2-r1         apk       
cairo-gobject              1.18.2-r1         apk       
catatonit                  0.2.0-r0          apk       
cdparanoia-libs            10.2-r14          apk       
certifi                    2025.1.31         python    
charset-normalizer         3.4.1             python    
chromaprint                1.5.1-r7          apk       
chromaprint-libs           1.5.1-r7          apk       
cjson                      1.7.18-r0         apk       
click                      8.1.8             python    
confuse                    2.0.1             python    
coreutils                  9.5-r2            apk       
coreutils-env              9.5-r2            apk       
coreutils-fmt              9.5-r2            apk       
coreutils-sha512sum        9.5-r2            apk       
curl                       8.12.1-r1         apk       
dbus-libs                  1.14.10-r4        apk       
duktape                    2.7.0-r1          apk       
eudev-libs                 3.2.14-r5         apk       
expat                      2.7.0-r0          apk       
ffmpeg                     6.1.2-r1          apk       
ffmpeg-libavcodec          6.1.2-r1          apk       
ffmpeg-libavdevice         6.1.2-r1          apk       
ffmpeg-libavfilter         6.1.2-r1          apk       
ffmpeg-libavformat         6.1.2-r1          apk       
ffmpeg-libavutil           6.1.2-r1          apk       
ffmpeg-libpostproc         6.1.2-r1          apk       
ffmpeg-libswresample       6.1.2-r1          apk       
ffmpeg-libswscale          6.1.2-r1          apk       
fftw                       3.3.10-r6         apk       
fftw-double-libs           3.3.10-r6         apk       
fftw-long-double-libs      3.3.10-r6         apk       
fftw-single-libs           3.3.10-r6         apk       
filetype                   1.2.0             python    
findutils                  4.10.0-r0         apk       
flac                       1.4.3-r1          apk       
flask                      3.1.0             python    
fontconfig                 2.15.0-r1         apk       
freetype                   2.13.3-r0         apk       
fribidi                    1.0.16-r0         apk       
gdbm                       1.24-r0           apk       
gdk-pixbuf                 2.42.12-r1        apk       
giflib                     5.2.2-r1          apk       
glib                       2.82.5-r0         apk       
glib-networking            2.80.1-r0         apk       
glslang-libs               1.3.296.0-r0      apk       
gmp                        6.3.0-r2          apk       
gnutls                     3.8.8-r0          apk       
gobject-introspection      1.82.0-r2         apk       
graphene                   1.10.8-r5         apk       
graphite2                  1.3.14-r6         apk       
gsettings-desktop-schemas  47.1-r0           apk       
gst-plugins-base           1.24.11-r0        apk       
gst-plugins-good           1.24.11-r0        apk       
gstreamer                  1.24.11-r0        apk       
gstreamer-ptp-helper       1.24.11-r0        apk       
h11                        0.14.0            python    
harfbuzz                   9.0.0-r1          apk       
httpcore                   1.0.8             python    
httpx                      0.28.1            python    
hwdata-pci                 0.393-r0          apk       
idna                       3.10              python    
imagemagick                7.1.1.41-r0       apk       
imagemagick-jpeg           7.1.1.41-r0       apk       
imagemagick-jxl            7.1.1.41-r0       apk       
imagemagick-libs           7.1.1.41-r0       apk       
imagemagick-pango          7.1.1.41-r0       apk       
imagemagick-tiff           7.1.1.41-r0       apk       
imagemagick-webp           7.1.1.41-r0       apk       
imath                      3.1.12-r0         apk       
itsdangerous               2.2.0             python    
jellyfish                  1.2.0             python    
jinja2                     3.1.6             python    
jpeg                       9f-r0             apk       
jq                         1.7.1-r0          apk       
lame                       3.100-r5          apk       
lame-libs                  3.100-r5          apk       
langdetect                 1.0.9             python    
lcms2                      2.16-r0           apk       
libSvtAv1Enc               2.2.1-r0          apk       
libass                     0.17.3-r0         apk       
libasyncns                 0.8-r4            apk       
libattr                    2.5.2-r2          apk       
libavc1394                 0.5.4-r3          apk       
libblkid                   2.40.4-r1         apk       
libbluray                  1.3.4-r1          apk       
libbsd                     0.12.2-r0         apk       
libbz2                     1.0.8-r6          apk       
libcap2                    2.71-r0           apk       
libcrypto3                 3.3.3-r0          apk       
libcurl                    8.12.1-r1         apk       
libdav1d                   1.5.0-r0          apk       
libdeflate                 1.22-r0           apk       
libdovi                    3.3.1-r0          apk       
libdrm                     2.4.123-r1        apk       
libdv                      1.0.0-r8          apk       
libeconf                   0.6.3-r0          apk       
libelf                     0.191-r0          apk       
libexpat                   2.7.0-r0          apk       
libffi                     3.4.7-r0          apk       
libflac                    1.4.3-r1          apk       
libgcc                     14.2.0-r4         apk       
libgomp                    14.2.0-r4         apk       
libgudev                   238-r0            apk       
libhwy                     1.0.7-r0          apk       
libidn2                    2.3.7-r0          apk       
libiec61883                1.2.0-r4          apk       
libintl                    0.22.5-r0         apk       
libjpeg-turbo              3.0.4-r0          apk       
libjpeg-turbo-utils        3.0.4-r0          apk       
libjxl                     0.10.4-r0         apk       
libltdl                    2.4.7-r3          apk       
libmd                      1.1.0-r0          apk       
libmount                   2.40.4-r1         apk       
libncursesw                6.5_p20241006-r3  apk       
libogg                     1.3.5-r5          apk       
libopenmpt                 0.7.12-r0         apk       
libpanelw                  6.5_p20241006-r3  apk       
libpciaccess               0.18.1-r0         apk       
